"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
422,0,0,9,-2,1,"face_-2_1_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.703,26.4,-26.4,26.4,1,4,3,3,7,1,1,7
366,0,0,19,1,2,"face_1_2_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.408,57.9,2.1,2.1,8,1,1,9,1,1,8,1
384,0,0,27,2,3,"face_2_3_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.157,68.95,1.05,1.05,8,2,2,7,2,1,7,3
23,0,0,36,4,4,"aface_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.802,47.85,32.15,32.15,7,4,3,3,3,3,3,3
335,0,0,17,-1,2,"face_-1_2_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.972,47.35,-7.35,7.35,9,1,1,9,1,1,9,1
141,0,0,27,2,3,"face_2_3_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.836,47.85,32.15,32.15,9,1,1,6,1,1,8,1
162,0,0,23,-2,3,"face_-2_3_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.184,47.85,32.15,32.15,5,3,1,8,1,1,7,1
244,0,0,41,4,9,"aface_6",1,0,30,60,0.38,0.36,0.26,0,0.38,0.734,26.4,-26.4,26.4,1,9,9,5,5,4,1,9
240,0,0,41,4,9,"aface_6",12,20,45,70,0.4,0.34,0.26,70,0.26,0.456,41.5,28.5,28.5,8,1,1,7,1,1,7,1
41,0,0,23,-2,3,"face_-2_3_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.444,57.9,2.1,2.1,6,3,2,6,2,1,5,5
341,0,0,17,-1,2,"face_-1_2_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.828,60.9,29.1,29.1,3,1,1,2,1,1,5,5
179,0,0,27,2,3,"face_2_3_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.7,51.45,-26.45,26.45,2,7,6,8,3,3,2,7
125,0,0,19,1,2,"face_1_2_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.26,68.95,1.05,1.05,4,3,4,4,4,5,5,4
66,0,0,36,4,4,"aface_1",32,45,60,90,0.52,0.29,0.19,60,0.29,0.909,57.9,2.1,2.1,5,1,1,4,1,1,5,2
227,0,0,40,4,8,"aface_5",32,45,60,90,0.52,0.29,0.19,60,0.29,0.075,57.9,2.1,2.1,6,1,1,2,1,1,4,2
31,0,0,39,4,7,"aface_4",16,25,60,100,0.45,0.37,0.18,25,0.45,0.573,51.45,-26.45,26.45,3,7,6,3,5,3,4,7
160,0,0,39,4,7,"aface_4",16,25,60,100,0.45,0.37,0.18,25,0.45,0.891,51.45,-26.45,26.45,9,1,1,1,1,1,9,1
29,0,0,27,2,3,"face_2_3_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.301,47.35,-7.35,7.35,9,1,1,9,1,1,5,1
352,0,0,23,-2,3,"face_-2_3_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.059,70.2,-20.2,20.2,6,6,1,1,1,1,6,7
421,0,0,38,4,6,"aface_3",47,55,70,85,0.28,0.51,0.21,70,0.51,0.292,68.95,1.05,1.05,3,1,7,6,5,1,1,5
217,0,0,13,2,1,"face_2_1_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.655,41.5,28.5,28.5,9,1,1,9,1,1,9,1
1,0,0,19,1,2,"face_1_2_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.42,47.35,-7.35,7.35,5,3,3,1,1,1,4,2
8,0,0,38,4,6,"aface_3",12,20,45,70,0.4,0.34,0.26,70,0.26,0.614,41.5,28.5,28.5,8,1,1,8,1,1,8,1
89,0,0,39,4,7,"aface_4",9,15,70,80,0.45,0.29,0.26,80,0.26,0.335,47.85,32.15,32.15,7,1,1,3,1,1,6,1
299,0,0,36,4,4,"aface_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.171,60.9,29.1,29.1,4,1,2,2,3,2,1,3
332,0,0,13,2,1,"face_2_1_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.636,68.95,1.05,1.05,6,3,3,7,3,3,7,3
454,0,0,9,-2,1,"face_-2_1_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.107,47.85,32.15,32.15,3,6,6,7,4,5,3,7
330,0,0,19,1,2,"face_1_2_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.927,60.9,29.1,29.1,7,1,1,5,1,1,7,2
343,0,0,40,4,8,"aface_5",32,45,60,90,0.52,0.29,0.19,60,0.29,0.439,57.9,2.1,2.1,6,1,1,3,1,1,1,1
15,0,0,19,1,2,"face_1_2_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.366,68.95,1.05,1.05,5,2,1,1,1,1,1,5
118,0,0,13,2,1,"face_2_1_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.766,68.95,1.05,1.05,7,1,1,7,3,1,7,3
93,0,0,40,4,8,"aface_5",49,50,75,90,0.3,0.52,0.18,50,0.3,0.75,70.2,-20.2,20.2,6,2,3,7,5,2,7,4
342,0,0,38,4,6,"aface_3",9,15,70,80,0.45,0.29,0.26,80,0.26,0.628,47.85,32.15,32.15,7,1,1,3,1,1,3,1
464,0,0,23,-2,3,"face_-2_3_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.689,47.85,32.15,32.15,5,1,1,9,1,1,5,1
310,0,0,36,4,4,"aface_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.935,47.85,32.15,32.15,9,2,2,7,1,3,3,1
353,0,0,36,4,4,"aface_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.057,26.4,-26.4,26.4,3,4,4,2,6,1,3,6
293,0,0,38,4,6,"aface_3",24,20,60,90,0.33,0.2,0.47,90,0.47,0.895,60.9,29.1,29.1,7,1,1,1,1,1,6,1
178,0,0,36,4,4,"aface_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.89,47.85,32.15,32.15,5,1,1,1,1,1,6,3
47,0,0,36,4,4,"aface_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.971,60.9,29.1,29.1,5,1,1,3,1,1,7,1
314,0,0,40,4,8,"aface_5",12,20,45,70,0.4,0.34,0.26,70,0.26,0.497,41.5,28.5,28.5,7,2,1,3,1,1,4,2
320,0,0,40,4,8,"aface_5",24,20,60,90,0.33,0.2,0.47,90,0.47,0.396,60.9,29.1,29.1,5,4,4,9,4,2,4,4
425,0,0,32,0,4,"face_0_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.235,47.85,32.15,32.15,9,1,1,9,1,1,9,1
236,0,0,1,-3,0,"face_-3_0_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.171,60.9,29.1,29.1,3,1,1,3,1,1,9,1
74,0,0,29,-3,4,"face_-3_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.953,41.5,28.5,28.5,3,5,7,5,6,3,2,5
55,0,0,35,3,4,"face_3_4_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.138,60.5,-10.5,10.5,8,1,1,5,1,1,5,1
290,0,0,4,0,0,"face_0_0_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.229,26.4,-26.4,26.4,1,2,3,2,1,1,2,5
225,0,0,7,3,0,"face_3_0_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.541,70.2,-20.2,20.2,6,1,1,4,1,1,8,1
53,0,0,32,0,4,"face_0_4_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.686,47.35,-7.35,7.35,3,1,1,7,2,1,2,8
115,0,0,7,3,0,"face_3_0_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.646,47.35,-7.35,7.35,7,2,1,3,1,1,4,1
90,0,0,4,0,0,"face_0_0_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.453,26.4,-26.4,26.4,2,3,1,2,2,3,5,4
6,0,0,29,-3,4,"face_-3_4_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.642,70.2,-20.2,20.2,1,6,6,6,6,1,1,8
436,0,0,35,3,4,"face_3_4_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.199,26.4,-26.4,26.4,8,2,2,8,2,1,8,3
406,0,0,7,3,0,"face_3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.741,51.45,-26.45,26.45,6,1,1,5,1,1,1,3
60,0,0,7,3,0,"face_3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.682,51.45,-26.45,26.45,7,1,1,6,1,1,6,3
156,0,0,1,-3,0,"face_-3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.305,47.85,32.15,32.15,4,6,6,1,5,1,1,5
427,0,0,7,3,0,"face_3_0_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.357,41.5,28.5,28.5,9,1,1,4,1,1,9,1
18,0,0,1,-3,0,"face_-3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.012,51.45,-26.45,26.45,2,6,4,1,3,1,1,9
457,0,0,1,-3,0,"face_-3_0_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.151,60.5,-10.5,10.5,5,3,1,5,1,1,5,3
415,0,0,32,0,4,"face_0_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.533,47.85,32.15,32.15,9,1,1,8,1,1,8,1
284,0,0,1,-3,0,"face_-3_0_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.3,51.45,-26.45,26.45,1,5,5,2,7,2,4,7
431,0,0,7,3,0,"face_3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.934,47.85,32.15,32.15,9,1,1,5,1,1,6,1
99,0,0,4,0,0,"face_0_0_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.027,26.4,-26.4,26.4,1,1,1,1,1,1,1,1
286,0,0,7,3,0,"face_3_0_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.387,60.5,-10.5,10.5,8,1,1,7,1,1,1,2
207,0,0,1,-3,0,"face_-3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.391,47.85,32.15,32.15,6,1,1,4,1,1,1,1
202,0,0,29,-3,4,"face_-3_4_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.083,60.5,-10.5,10.5,1,1,9,1,9,1,1,9
279,0,0,1,-3,0,"face_-3_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.335,47.85,32.15,32.15,3,2,4,3,2,1,4,2
296,0,0,35,3,4,"face_3_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.45,47.85,32.15,32.15,8,1,1,2,1,1,5,1
275,0,0,29,-3,4,"face_-3_4_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.261,68.95,1.05,1.05,1,3,9,6,9,3,1,7
239,0,0,29,-3,4,"face_-3_4_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.113,70.2,-20.2,20.2,1,5,9,5,9,5,1,9
206,0,0,4,0,0,"face_0_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.439,47.85,32.15,32.15,6,4,4,4,3,3,3,3
237,0,0,7,3,0,"face_3_0_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.212,68.95,1.05,1.05,8,1,1,8,1,1,6,1
433,0,0,29,-3,4,"face_-3_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.065,47.85,32.15,32.15,6,5,6,6,5,1,3,3
440,0,0,35,3,4,"face_3_4_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.288,47.35,-7.35,7.35,9,1,1,9,1,1,8,1
430,0,0,35,3,4,"face_3_4_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.723,47.85,32.15,32.15,8,1,1,9,1,1,8,1
344,0,0,29,-3,4,"face_-3_4_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.157,51.45,-26.45,26.45,1,1,7,1,7,1,1,5
65,0,0,35,3,4,"face_3_4_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.316,60.9,29.1,29.1,8,1,1,7,1,1,8,1
148,0,0,32,0,4,"face_0_4_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.59,70.2,-20.2,20.2,5,1,1,7,1,1,1,1
205,0,0,4,0,0,"face_0_0_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.314,68.95,1.05,1.05,7,1,1,3,1,1,6,1
185,0,0,29,-3,4,"face_-3_4_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.326,68.95,1.05,1.05,1,1,9,5,8,1,1,1
219,0,0,32,0,4,"face_0_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.063,41.5,28.5,28.5,7,1,1,6,1,1,7,1
403,0,0,35,3,4,"face_3_4_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.602,60.9,29.1,29.1,9,1,1,6,1,1,9,1
110,0,0,4,0,0,"face_0_0_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.12,68.95,1.05,1.05,6,2,1,5,1,1,5,2
104,0,0,35,3,4,"face_3_4_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.039,47.35,-7.35,7.35,6,1,1,5,1,1,1,1
274,0,0,1,-3,0,"face_-3_0_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.617,26.4,-26.4,26.4,1,7,5,5,6,6,1,7
271,0,0,4,0,0,"face_0_0_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.747,47.35,-7.35,7.35,5,5,5,5,5,5,7,5
358,0,0,29,-3,4,"face_-3_4_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.357,60.5,-10.5,10.5,3,2,6,5,6,1,3,8
338,0,0,35,3,4,"face_3_4_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.82,51.45,-26.45,26.45,9,1,1,7,1,1,8,1
461,0,0,29,-3,4,"face_-3_4_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.199,70.2,-20.2,20.2,1,4,8,5,8,2,1,8
180,0,0,32,0,4,"face_0_4_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.556,60.9,29.1,29.1,9,1,1,9,1,1,6,1
336,0,0,4,0,0,"face_0_0_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.855,47.85,32.15,32.15,4,4,4,4,4,4,4,4
448,0,0,32,0,4,"face_0_4_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.93,41.5,28.5,28.5,6,3,3,8,3,3,3,3
213,0,0,1,-3,0,"face_-3_0_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.999,41.5,28.5,28.5,1,1,1,2,1,1,1,1
268,0,0,39,4,7,"aface_4",12,20,45,70,0.4,0.34,0.26,70,0.26,0.369,41.5,28.5,28.5,8,1,1,2,1,1,5,1
139,0,0,23,-2,3,"face_-2_3_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.266,47.35,-7.35,7.35,2,3,4,4,4,3,2,5
463,0,0,41,4,9,"aface_6",9,15,70,80,0.45,0.29,0.26,80,0.26,0.302,47.85,32.15,32.15,9,1,1,9,1,1,9,1
383,0,0,36,4,4,"aface_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.609,68.95,1.05,1.05,6,1,1,1,1,1,2,1
