"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
108,0,0,6,"oh",41,0,40,95,0.27,0.4,0.33,40,0.4,0.453,47.35,-7.35,7.35,5,5,3,4,2,2,5,4
11,0,0,8,"dang",41,0,40,95,0.27,0.4,0.33,40,0.4,0.105,47.35,-7.35,7.35,9,8,7,8,6,5,4,3
41,0,0,5,"man",24,20,60,90,0.33,0.2,0.47,90,0.47,0.274,60.9,29.1,29.1,5,3,2,4,1,1,1,2
74,0,0,1,"cool",49,50,75,90,0.3,0.52,0.18,50,0.3,0.686,70.2,-20.2,20.2,6,3,3,9,2,5,3,6
54,0,0,1,"cool",9,15,70,80,0.45,0.29,0.26,80,0.26,0.529,47.85,32.15,32.15,7,1,1,7,1,1,1,1
14,0,0,3,"yay",47,55,70,85,0.28,0.51,0.21,70,0.51,0.966,68.95,1.05,1.05,4,7,6,6,2,6,5,5
56,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.535,47.85,32.15,32.15,9,1,1,9,1,1,9,1
117,0,0,9,"meh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.103,47.85,32.15,32.15,5,5,1,5,2,2,7,5
96,0,0,1,"cool",41,0,40,95,0.27,0.4,0.33,40,0.4,0.703,47.35,-7.35,7.35,7,2,1,1,1,1,1,5
63,0,0,4,"wow",47,55,70,85,0.28,0.51,0.21,70,0.51,0.964,68.95,1.05,1.05,8,1,1,3,1,1,8,2
136,0,0,5,"man",47,55,70,85,0.28,0.51,0.21,70,0.51,0.31,68.95,1.05,1.05,7,3,2,6,3,2,7,4
46,0,0,8,"dang",12,20,45,70,0.4,0.34,0.26,70,0.26,0.4,41.5,28.5,28.5,9,1,1,9,1,1,9,1
131,0,0,5,"man",32,45,60,90,0.52,0.29,0.19,60,0.29,0.831,57.9,2.1,2.1,7,1,2,4,2,1,7,3
6,0,0,3,"yay",12,20,45,70,0.4,0.34,0.26,70,0.26,0.443,41.5,28.5,28.5,9,1,1,9,1,1,9,1
57,0,0,5,"man",47,55,70,85,0.28,0.51,0.21,70,0.51,0.309,68.95,1.05,1.05,9,1,1,3,1,1,6,2
36,0,0,3,"yay",12,20,45,70,0.4,0.34,0.26,70,0.26,0.521,41.5,28.5,28.5,9,1,1,6,1,1,7,1
102,0,0,3,"yay",1,0,30,60,0.38,0.36,0.26,0,0.38,0.439,26.4,-26.4,26.4,3,1,1,1,1,1,1,1
125,0,0,5,"man",47,55,70,85,0.28,0.51,0.21,70,0.51,0.501,68.95,1.05,1.05,7,2,3,4,3,3,7,5
84,0,0,1,"cool",1,0,30,60,0.38,0.36,0.26,0,0.38,0.111,26.4,-26.4,26.4,9,2,2,2,1,1,9,1
17,0,0,5,"man",9,15,70,80,0.45,0.29,0.26,80,0.26,0.302,47.85,32.15,32.15,9,1,1,9,1,1,8,1
130,0,0,1,"cool",24,20,60,90,0.33,0.2,0.47,90,0.47,0.919,60.9,29.1,29.1,9,1,1,2,1,1,9,2
75,0,0,7,"damn",32,45,60,90,0.52,0.29,0.19,60,0.29,0.552,57.9,2.1,2.1,2,6,6,6,5,1,1,8
2,0,0,8,"dang",14,30,50,95,0.33,0.29,0.38,50,0.29,0.732,60.5,-10.5,10.5,2,3,3,6,1,1,3,2
91,0,0,3,"yay",24,20,60,90,0.33,0.2,0.47,90,0.47,0.872,60.9,29.1,29.1,9,1,1,6,1,1,7,1
98,0,0,5,"man",12,20,45,70,0.4,0.34,0.26,70,0.26,0.046,41.5,28.5,28.5,9,1,1,8,1,1,8,1
60,0,0,9,"meh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.869,47.85,32.15,32.15,5,4,1,1,6,1,5,7
93,0,0,4,"wow",41,0,40,95,0.27,0.4,0.33,40,0.4,0.308,47.35,-7.35,7.35,7,1,1,8,1,1,7,1
43,0,0,8,"dang",9,15,70,80,0.45,0.29,0.26,80,0.26,0.644,47.85,32.15,32.15,9,8,7,6,5,4,3,2
142,0,0,10,"yikes",1,0,30,60,0.38,0.36,0.26,0,0.38,0.62,26.4,-26.4,26.4,1,7,2,9,1,1,1,8
144,0,0,7,"damn",41,0,40,95,0.27,0.4,0.33,40,0.4,0.384,47.35,-7.35,7.35,1,1,7,7,3,1,1,9
112,0,0,1,"cool",47,55,70,85,0.28,0.51,0.21,70,0.51,0.111,68.95,1.05,1.05,8,1,1,5,1,1,7,1
134,0,0,9,"meh",41,0,40,95,0.27,0.4,0.33,40,0.4,0.926,47.35,-7.35,7.35,3,7,2,7,7,7,3,3
34,0,0,8,"dang",41,0,40,95,0.27,0.4,0.33,40,0.4,0.289,47.35,-7.35,7.35,3,2,6,3,1,1,3,8
129,0,0,8,"dang",9,15,70,80,0.45,0.29,0.26,80,0.26,0.81,47.85,32.15,32.15,9,1,1,9,1,1,8,1
119,0,0,7,"damn",1,0,30,60,0.38,0.36,0.26,0,0.38,0.243,26.4,-26.4,26.4,1,9,1,9,9,1,1,9
37,0,0,10,"yikes",12,20,45,70,0.4,0.34,0.26,70,0.26,0.898,41.5,28.5,28.5,9,1,1,8,1,1,8,1
44,0,0,8,"dang",12,20,45,70,0.4,0.34,0.26,70,0.26,0.936,41.5,28.5,28.5,5,4,1,3,1,1,2,6
143,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.383,47.85,32.15,32.15,3,3,3,7,7,4,4,5
77,0,0,8,"dang",24,20,60,90,0.33,0.2,0.47,90,0.47,0.927,60.9,29.1,29.1,9,1,1,7,1,1,9,1
31,0,0,4,"wow",14,30,50,95,0.33,0.29,0.38,50,0.29,0.714,60.5,-10.5,10.5,8,2,2,8,2,2,8,2
85,0,0,5,"man",47,55,70,85,0.28,0.51,0.21,70,0.51,0.516,68.95,1.05,1.05,3,5,6,4,6,2,3,7
53,0,0,7,"damn",9,15,70,80,0.45,0.29,0.26,80,0.26,0.583,47.85,32.15,32.15,9,1,1,8,1,1,8,1
99,0,0,6,"oh",14,30,50,95,0.33,0.29,0.38,50,0.29,0.545,60.5,-10.5,10.5,5,4,2,7,3,4,7,5
113,0,0,5,"man",32,45,60,90,0.52,0.29,0.19,60,0.29,0.551,57.9,2.1,2.1,1,6,5,5,6,1,1,1
79,0,0,6,"oh",47,55,70,85,0.28,0.51,0.21,70,0.51,0.617,68.95,1.05,1.05,6,2,1,6,1,1,6,2
72,0,0,10,"yikes",24,20,60,90,0.33,0.2,0.47,90,0.47,0.44,60.9,29.1,29.1,9,1,1,8,1,1,7,1
104,0,0,10,"yikes",49,50,75,90,0.3,0.52,0.18,50,0.3,0.917,70.2,-20.2,20.2,1,9,8,8,7,7,1,9
90,0,0,2,"awesome",24,20,60,90,0.33,0.2,0.47,90,0.47,0.955,60.9,29.1,29.1,8,1,1,5,1,1,5,1
73,0,0,8,"dang",41,0,40,95,0.27,0.4,0.33,40,0.4,0.8,47.35,-7.35,7.35,7,1,1,9,1,1,5,7
11,0,0,6,"oh",47,55,70,85,0.28,0.51,0.21,70,0.51,0.131,68.95,1.05,1.05,9,4,4,9,6,7,8,4
114,0,0,4,"wow",24,20,60,90,0.33,0.2,0.47,90,0.47,0.582,60.9,29.1,29.1,9,1,1,8,1,1,9,1
