"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
280,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.449,60.9,29.1,29.1,9,1,1,7,1,1,1,1
381,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.943,68.95,1.05,1.05,9,1,1,7,1,1,6,1
355,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.465,47.85,32.15,32.15,9,1,1,9,1,1,9,1
200,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.921,60.9,29.1,29.1,8,1,1,7,1,1,7,1
447,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.448,68.95,1.05,1.05,7,1,1,3,1,1,9,2
313,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.624,60.9,29.1,29.1,9,1,1,9,1,1,1,1
351,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.961,60.5,-10.5,10.5,5,3,2,5,1,1,1,5
33,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.265,41.5,28.5,28.5,9,1,1,7,1,1,1,1
192,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.266,70.2,-20.2,20.2,6,1,1,6,1,1,7,2
222,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.117,47.35,-7.35,7.35,7,1,1,7,1,1,7,3
145,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.857,51.45,-26.45,26.45,5,3,3,3,3,2,4,6
446,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.842,70.2,-20.2,20.2,6,6,3,6,1,1,5,5
189,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.297,70.2,-20.2,20.2,3,6,6,7,7,3,5,7
243,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.723,51.45,-26.45,26.45,4,5,6,5,7,2,3,7
87,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.932,47.85,32.15,32.15,9,1,1,9,1,4,8,1
112,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.424,51.45,-26.45,26.45,4,1,1,1,1,1,1,7
385,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.536,51.45,-26.45,26.45,4,6,4,3,4,1,4,6
429,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.894,70.2,-20.2,20.2,5,3,3,2,1,1,6,5
350,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.108,70.2,-20.2,20.2,3,7,2,6,2,2,3,8
188,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.045,60.5,-10.5,10.5,6,1,2,2,2,1,2,5
117,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.634,68.95,1.05,1.05,5,1,1,1,1,1,6,2
357,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.267,47.35,-7.35,7.35,7,2,1,5,1,1,1,3
70,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.165,60.5,-10.5,10.5,7,3,2,6,2,2,2,2
72,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.12,60.9,29.1,29.1,9,1,1,8,1,1,8,1
409,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.859,51.45,-26.45,26.45,4,2,1,3,1,1,2,7
20,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.289,57.9,2.1,2.1,7,4,3,6,7,7,6,6
129,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.019,60.9,29.1,29.1,8,2,2,7,2,2,7,1
16,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.926,68.95,1.05,1.05,6,2,2,5,2,2,8,3
423,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.842,47.85,32.15,32.15,7,1,1,7,1,1,1,1
260,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.413,68.95,1.05,1.05,8,1,1,6,1,1,7,2
195,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.352,41.5,28.5,28.5,9,1,1,9,1,1,9,1
460,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.582,57.9,2.1,2.1,7,1,1,6,1,4,1,1
153,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.269,60.9,29.1,29.1,9,1,1,4,1,1,9,1
375,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.887,60.9,29.1,29.1,3,5,3,2,1,1,2,8
439,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.153,47.35,-7.35,7.35,7,2,2,5,2,1,6,4
167,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.226,70.2,-20.2,20.2,4,3,1,3,1,1,5,5
164,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.825,51.45,-26.45,26.45,3,7,2,8,3,1,3,9
94,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.813,51.45,-26.45,26.45,3,5,2,1,4,1,3,5
376,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.568,41.5,28.5,28.5,9,1,1,3,1,1,9,1
107,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.616,47.35,-7.35,7.35,6,4,4,6,3,1,6,4
3,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.971,47.35,-7.35,7.35,5,3,1,2,3,1,6,3
384,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.641,51.45,-26.45,26.45,3,5,6,7,5,1,2,7
84,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.602,57.9,2.1,2.1,7,1,1,6,1,1,8,2
335,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.055,60.9,29.1,29.1,9,1,1,9,1,1,9,1
141,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.337,60.9,29.1,29.1,9,1,1,4,1,1,7,1
162,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.785,51.45,-26.45,26.45,6,3,2,2,2,1,6,5
154,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.782,68.95,1.05,1.05,7,4,1,5,2,1,3,6
417,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.161,68.95,1.05,1.05,6,4,2,5,1,1,4,7
364,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.735,60.9,29.1,29.1,8,1,1,8,1,1,9,1
263,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.597,60.5,-10.5,10.5,8,1,1,7,1,1,6,4
412,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.771,51.45,-26.45,26.45,6,2,2,5,2,1,6,4
184,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.056,47.85,32.15,32.15,9,1,1,7,1,3,9,1
66,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.267,51.45,-26.45,26.45,3,2,1,3,1,1,4,8
331,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.099,47.35,-7.35,7.35,7,1,1,5,3,1,6,3
152,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.825,47.85,32.15,32.15,8,1,1,7,1,1,8,1
287,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.5,70.2,-20.2,20.2,4,1,1,1,2,1,1,4
31,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.521,47.35,-7.35,7.35,6,3,1,6,2,1,6,4
352,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.212,60.5,-10.5,10.5,6,1,1,1,1,1,6,6
