"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
12,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.831,60.5,-10.5,10.5,6,2,1,3,1,1,3,4
26,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.309,60.5,-10.5,10.5,8,2,1,7,2,6,3,1
25,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.848,70.2,-20.2,20.2,4,6,6,5,6,2,4,7
68,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.378,26.4,-26.4,26.4,1,7,4,6,6,1,2,7
47,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.696,47.35,-7.35,7.35,6,3,2,3,4,1,6,6
59,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.442,57.9,2.1,2.1,5,1,2,4,1,1,1,4
121,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.093,57.9,2.1,2.1,5,4,3,4,4,1,7,5
149,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.652,68.95,1.05,1.05,7,1,1,5,1,1,5,1
124,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.799,41.5,28.5,28.5,8,1,1,5,1,1,7,1
105,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.984,57.9,2.1,2.1,5,3,1,6,1,1,5,3
1,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.44,57.9,2.1,2.1,7,1,1,2,1,1,6,3
138,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.72,47.35,-7.35,7.35,7,1,1,2,1,1,7,3
8,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.771,70.2,-20.2,20.2,3,5,4,7,3,1,1,8
140,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.707,26.4,-26.4,26.4,2,9,7,6,8,1,3,9
147,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.065,41.5,28.5,28.5,9,1,1,4,1,1,8,1
62,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.516,41.5,28.5,28.5,9,1,1,7,1,1,8,1
19,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.12,57.9,2.1,2.1,6,4,4,4,3,3,5,4
133,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.984,68.95,1.05,1.05,7,2,1,2,1,1,6,2
33,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.179,47.85,32.15,32.15,9,1,1,5,1,1,4,1
28,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.266,60.9,29.1,29.1,9,1,1,7,1,1,9,1
22,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.17,70.2,-20.2,20.2,6,2,2,4,1,1,5,4
